05/26/2020 09:52:41 AM scraping with user RUD
05/26/2020 09:52:41 AM beginning streaming
05/26/2020 09:52:41 AM Signing request <PreparedRequest [POST]> using client <Client client_key=YiYRZRnFw6BmZ62JUQuRrJJ1V, client_secret=****, resource_owner_key=132562597-zU3Z7EHp4Q3vJiXvKseL2ucVqALYldbI5B5l8IR0, resource_owner_secret=****, signature_method=HMAC-SHA1, signature_type=AUTH_HEADER, callback_uri=None, rsa_key=None, verifier=None, realm=None, encoding=utf-8, decoding=None, nonce=None, timestamp=None>
05/26/2020 09:52:41 AM Including body in call to sign: True
05/26/2020 09:52:41 AM Collected params: [('delimited', 'length'), ('oauth_nonce', '70226239567337647031590450761'), ('oauth_timestamp', '1590450761'), ('oauth_version', '1.0'), ('oauth_signature_method', 'HMAC-SHA1'), ('oauth_consumer_key', 'YiYRZRnFw6BmZ62JUQuRrJJ1V'), ('oauth_token', '132562597-zU3Z7EHp4Q3vJiXvKseL2ucVqALYldbI5B5l8IR0'), ('track', 'trump')]
05/26/2020 09:52:41 AM Normalized params: delimited=length&oauth_consumer_key=YiYRZRnFw6BmZ62JUQuRrJJ1V&oauth_nonce=70226239567337647031590450761&oauth_signature_method=HMAC-SHA1&oauth_timestamp=1590450761&oauth_token=132562597-zU3Z7EHp4Q3vJiXvKseL2ucVqALYldbI5B5l8IR0&oauth_version=1.0&track=trump
05/26/2020 09:52:41 AM Normalized URI: https://stream.twitter.com/1.1/statuses/filter.json
05/26/2020 09:52:41 AM Signing: signature base string: POST&https%3A%2F%2Fstream.twitter.com%2F1.1%2Fstatuses%2Ffilter.json&delimited%3Dlength%26oauth_consumer_key%3DYiYRZRnFw6BmZ62JUQuRrJJ1V%26oauth_nonce%3D70226239567337647031590450761%26oauth_signature_method%3DHMAC-SHA1%26oauth_timestamp%3D1590450761%26oauth_token%3D132562597-zU3Z7EHp4Q3vJiXvKseL2ucVqALYldbI5B5l8IR0%26oauth_version%3D1.0%26track%3Dtrump
05/26/2020 09:52:41 AM Signature: FU2GDBortrZqC1crf5fvYzG43zE=
05/26/2020 09:52:41 AM Updated url: https://stream.twitter.com/1.1/statuses/filter.json?delimited=length
05/26/2020 09:52:41 AM Updated headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Content-Length': '11', 'Authorization': 'OAuth oauth_nonce="70226239567337647031590450761", oauth_timestamp="1590450761", oauth_version="1.0", oauth_signature_method="HMAC-SHA1", oauth_consumer_key="YiYRZRnFw6BmZ62JUQuRrJJ1V", oauth_token="132562597-zU3Z7EHp4Q3vJiXvKseL2ucVqALYldbI5B5l8IR0", oauth_signature="FU2GDBortrZqC1crf5fvYzG43zE%3D"'}
05/26/2020 09:52:41 AM Updated body: 'track=trump'
05/26/2020 09:52:41 AM Starting new HTTPS connection (1): stream.twitter.com:443
05/26/2020 09:52:42 AM https://stream.twitter.com:443 "POST /1.1/statuses/filter.json?delimited=length HTTP/1.1" 200 None
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
05/26/2020 09:52:42 AM writing tweet to <_io.TextIOWrapper name='<stdout>' mode='w' encoding='UTF-8'>
